source_url,name,run_date
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"6,446,517 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Goldman Sachs,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"4,869,017 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Google,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"37,779,157 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Adobe,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"5,018,068 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Amazon,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"34,515,649 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Roche,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"3,738,621 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Harvard Business Review,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"14,526,660 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Ogilvy,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"1,747,903 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Boston Consulting Group (BCG),2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"4,953,904 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Stanford University Graduate School of Business,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"531,129 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Stanford University,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"1,380,079 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,United Nations,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"5,955,015 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Nike,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"5,894,348 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Bain & Company,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"2,361,458 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Starbucks,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"2,949,167 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,The Wall Street Journal,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"9,921,063 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Walmart,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"4,713,700 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,NVIDIA,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"3,461,720 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,UNC Kenan-Flagler Business School,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"68,808 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,University of North Carolina at Chapel Hill,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"393,981 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,NYSE,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"351,147 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Cushman & Wakefield,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"1,609,494 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Anheuser-Busch,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"338,999 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,BlackRock,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"2,324,538 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Harvard Business School,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"2,430,902 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,RCA Records,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"37,426 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Equity Office Properties Trust,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"1,732 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Ketchum,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"124,325 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Ticketmaster,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"290,014 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Jefferies,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"502,108 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,The Wharton School,2025-07-02
